#{"t_start": 1743034456.1590307, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,456.825744
-50.0,50,457.039868
-50.0,50,457.261045
-50.0,50,457.490913
-50.0,50,457.694413
-6.0,7,457.73779
-50.0,50,457.939675
-50.0,50,458.150707
-24.0,25,458.281128
-50.0,50,458.481898
-50.0,50,458.686174
-50.0,50,458.896845
-10.0,11,458.957978
-50.0,50,459.181591
-50.0,50,459.39387
-50.0,50,459.617296
-46.0,47,459.81519
-50.0,50,460.019477
-50.0,50,460.238091
-50.0,50,460.463735
-50.0,50,460.687848
-50.0,50,460.905752
-2.0,3,460.929929
-50.0,50,461.136579
-50.0,50,461.350614
-50.0,50,461.561783
-50.0,50,461.756095
-50.0,50,461.96722
-50.0,50,462.240495
-21.0,22,462.346658
-2.0,3,462.376738
-50.0,50,462.571878
-10.0,11,463.452886
-50.0,50,464.548107
0.0,1,465.435563
-50.0,50,465.553596
-50.0,50,466.555362
-50.0,50,467.563928
-27.0,28,468.518812
-50.0,50,469.566697
-50.0,50,470.584776
-50.0,50,471.580075
-50.0,50,472.591249
-10.0,11,473.509418
-50.0,50,474.601312
-50.0,50,475.601408
-50.0,50,476.607155
-30.0,31,482.220716
-50.0,50,482.714488
-50.0,50,483.641987
-4.0,5,484.5405
-2.0,3,485.539832
-50.0,50,486.647625
-50.0,50,487.651449
-2.0,3,488.555249
-50.0,50,489.669109
-50.0,50,490.67245
-17.0,18,491.609254
-50.0,50,492.67645
-50.0,50,493.690412
-50.0,50,494.694937
-50.0,50,495.697804
-50.0,50,496.700952
-50.0,50,497.709974
-50.0,50,498.718042
-1.0,2,499.613886
-50.0,50,500.734673
-50.0,50,501.736922
-50.0,50,502.750601
-50.0,50,503.76604
-50.0,50,504.752187
-36.0,37,505.729273
-24.0,25,506.701841
-6.0,7,507.671426
-50.0,50,508.773903
-50.0,50,509.774899
-50.0,50,510.775927
-50.0,50,511.796399
-50.0,50,512.786354
-50.0,50,513.810491
-25.0,26,514.753397
-50.0,50,515.836618
-8.0,9,516.729729
-50.0,50,517.826678
-50.0,50,518.823771
-50.0,50,519.836411
-13.0,14,520.756837
0.0,1,521.728004
-50.0,50,521.844635
-25.0,26,522.797393
-50.0,50,523.8508
0.0,1,524.744644
-47.0,48,524.857863
-42.0,43,525.846163
-50.0,50,526.8649
-21.0,22,527.810808
-50.0,50,528.875256
-4.0,5,529.783772
-11.0,12,530.80673
-50.0,50,531.891201
-50.0,50,532.898163
-31.0,32,536.792648
-50.0,50,536.92769
-14.0,15,537.846737
-50.0,50,538.928737
-50.0,50,539.935579
-50.0,50,540.93193
-50.0,50,541.954571
-50.0,50,542.949976
-50.0,50,543.958693
-50.0,50,544.962245
-41.0,42,545.957665
-50.0,50,546.9855
-50.0,50,547.981555
-50.0,50,548.990967
-23.0,24,549.940948
-17.0,18,550.9218
-50.0,50,551.994843
-15.0,16,552.928901
-50.0,50,554.00309
-50.0,50,555.027622
-50.0,50,556.017507
-50.0,50,557.02797
-50.0,50,558.031693
-50.0,50,559.043447
-50.0,50,560.081773
-17.0,18,560.983843
-29.0,30,562.010505
-50.0,50,563.067822
-50.0,50,564.065606
-14.0,15,564.997636
-50.0,50,566.075055
